id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
101727,93548,...Iru!,NULL,1998-03-26 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
127288,205772,1 on 1,"You play as one of 8 characters, battling their way through everyone else to prove their basketball and fighting skills.",1998-11-26 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
96821,582,101 Airborne: The Airborne Invasion of Normandy,NULL,1998-09-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
164173,3328,1080° Snowboarding,"You're taking a Tahoe 155 snowboard down a steep, bumpy incline at night and you’re about to top off an Indy Nosebone with a 360° Air, and you haven't even left your living room! You’re Playing 1080° Snowboarding, a game so intense you'll be brushing the snow off your goggles. With five different boarders, eight different Lamar snowboards, more than 25 tricks, a Half-Pipe and six different courses, this is as close as you’ll get to the real thing without hopping on the next ski life.",1998-03-31 00:00:00.000,6,NULL,70.0000,1,64.6948,45
152454,98267,2069 AD,NULL,1998-08-03 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
85557,210361,3D Alien Invasion,NULL,1998-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
76683,62962,3D Maze Man: Amazing Adventures,NULL,1998-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
68801,50469,3-D Ultra NASCAR Pinball,NULL,1998-12-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
76613,140624,4K ADVENTURE,"You are the Grimbis, a black dwarf in the employ of Gawyn, the lord of all realms. Treasonous elves has stolen the magical orb which Gawyn needs to keep the land in etewrnal winter. The hero must recover the ord and return it.",1998-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
72381,147280,5001 Games The Ultimate Games Pack,NULL,1998-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
67822,45449,6 Inch My Darling,"You play a high school student living with your parents and younger sister. On your way back from school, you stumble across a mysterious wooden box containing a strange figurine and an old letter. Thus your adventure begins...

Basically, this is a dating game, where you get to chaperone one of three 6-inch tall fairies from another world as they go about exploring your world (and sometimes making quite a mess while they're at it). Depending on how you do, you unlock various scenes/events throughout the game and maybe get a happy ending with the girl of your dreams. Along the way, you'll also be juggling your unsuspecting family and friends, including a real life female classmate who might turn out to be a love interest as well if you play your cards right.",1998-12-23 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
141613,3435,64 Trump Collection: Alice no Waku-waku Trump World,NULL,1998-08-07 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
103631,58510,'98 Year Koushien,"High school baseball selection is one of Japan 's national high school baseball league, held from the end of March to April in the Hanshin Koshien Stadium in Nishinomiya, Hyogo Prefecture. It is commonly known as the ""Spring Meeting "" or ""Spring Koshien"". The champion team will be awarded the blue and purple flag.",1998-06-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
62935,133254,99 Nendohan: Eitango Center 1500,NULL,1998-07-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
81916,131374,A New Adventure: FaYoh 2,NULL,1998-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
19063,80309,A2 Racer II,NULL,1998-12-31 00:00:00.000,NULL,1,NULL,NULL,NULL,NULL
64861,72955,Abala Burn,NULL,1998-08-20 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
180973,43819,AbalaBurn: A Battle Legend Of Astterica,NULL,1998-09-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
28356,14202,Abduction,NULL,1998-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
59185,73215,Acid Tetris,NULL,1998-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
60011,44996,Activision Classics,NULL,1998-10-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
124630,34501,Actua Golf 3,NULL,1998-10-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
1903,1994,Actua Soccer 3,NULL,1998-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
45819,44736,Actua Tennis,NULL,1998-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
174835,69860,Addiction Pinball,NULL,1998-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
174856,43935,Adidas Power Soccer 98,NULL,1998-07-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
174833,18486,Adrenix,NULL,1998-04-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
34579,60806,Advanced Daisenryaku 98: Storm Over Europe,NULL,1998-04-02 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
481,13289,Advanced Pinball Simulator,NULL,1998-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
12433,63246,Advanced Strategic Command,NULL,1998-10-19 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
162546,44799,Advanced V.G. 2,"The sequel to Advanced V.G. centers around a plot-driven ""Story Mode"" which features new protagonist Tamao Mitsurugi facing all of the previous competitors, as well as new faces Kyoko Kirishima and Saki Shinjou before going on to face the new boss characters Material and Miranda Jahana, Reimi's mother.",1998-09-23 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
44389,133595,Adventures Through McDonaldland,NULL,1998-06-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
28457,128553,Adventurous Boy: Mao Xian Xiao Zi,NULL,1998-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
124506,169895,Agora: Soul of the Oracle,NULL,1998-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
54162,44041,AI Shogi 3,NULL,1998-12-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
141636,47763,Air Boarder 64,NULL,1998-03-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
136744,171887,Air Combat III,NULL,1998-12-11 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
25558,125618,Air Traffic Controller by DS.,NULL,1998-07-10 00:00:00.000,NULL,1,NULL,NULL,NULL,NULL
175863,9957,Airline Tycoon,NULL,1998-08-01 00:00:00.000,4,NULL,NULL,NULL,79.8202,7
159348,178239,Aishiau Koto Shika Dekinai,NULL,1998-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
955,62544,Akagawa Jirou: Yasoukyoku,NULL,1998-07-16 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
